template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2019,2019-09-30,FALSE,TRUE,0,0.40981,0.04511,8720000000,0.21556,0.21171,7.06879,5.70788,0.03049,3718000000,0.37556,1.74227,NA,1.0959,5,0.02928,NA,-2.40011,-6.62939,0.01681,2.52338,2134000000,0.03049,0.03776,0.01072,1.74227,0.01681,0.11287,22472000000,0.03776,0.01072
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2019,2019-06-30,FALSE,TRUE,0,0.4269,0.04864,8286000000,0.26623,0.26093,6.43043,5.38144,0.0414,5041000000,0.51126,1.92038,NA,1.10207,6,0.04143,NA,-2.18851,-5.88003,0.02157,2.60625,2625000000,0.0414,0.04947,0.01372,1.92038,0.02157,0.12192,23329000000,0.04947,0.01372
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2019,2019-03-31,FALSE,TRUE,0,0.43183,0.07404,9274000000,0.36263,0.35468,6.07943,4.92974,0.05965,-721000000,-0.07342,-0.20247,NA,1.09005,6,-0.0063,NA,-1.47703,-3.0991,0.03113,2.67903,3561000000,0.05965,0.07356,0.01999,-0.20247,0.03113,0.13095,23322000000,0.07356,0.01999
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2018,2018-12-31,FALSE,TRUE,0,0.38126,0.05231,8048000000,0.30888,0.3021,7.38602,4.44378,0.04182,12584000000,1.28408,4.15725,NA,1.09811,8,0.13351,NA,-2.20614,-4.68965,0.03211,2.73483,3027000000,0.04182,0.06951,0.01861,4.15725,0.03211,0.14445,23495000000,0.06951,0.01861
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2018,2018-09-30,FALSE,TRUE,0,0.41666,0.06582,7502000000,0.29539,0.28772,5.79672,4.00871,0.05096,5636000000,0.57746,1.95491,NA,1.08244,7,0.06378,NA,-0.67729,-1.36439,0.03262,2.67272,2883000000,0.05096,0.07369,0.02006,1.95491,0.03262,0.17178,24684000000,0.07369,0.02006
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2018,2018-06-30,FALSE,TRUE,0,0.42079,0.0564,6613000000,0.2607,0.2534,5.44095,3.60031,0.04791,3498000000,0.35988,1.38043,NA,1.07244,6,0.04199,NA,-0.36474,-0.80858,0.03042,2.83198,2534000000,0.04791,0.07241,0.0189,1.38043,0.03042,0.18373,24638000000,0.07241,0.0189
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2018,2018-03-31,FALSE,TRUE,0,0.39785,0.03775,5598000000,0.16829,0.16355,5.27293,3.25031,0.03191,-5128000000,-0.52975,-3.14794,NA,1.05795,4,-0.06548,NA,-0.0577,-0.16762,0.0208,3.01621,1629000000,0.03191,0.05178,0.01289,-3.14794,0.0208,0.195,24640000000,0.05178,0.01289
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2017,2017-12-31,FALSE,TRUE,0,0.36322,0.03518,5625000000,0.19224,0.1872,6.25807,2.86843,0.03072,8683000000,0.89886,4.67582,NA,1.03998,6,0.11825,NA,-1.10987,-2.93512,0.02529,3.73889,1857000000,0.03072,0.06702,0.01414,4.67582,0.02529,0.18843,24743000000,0.06702,0.01414
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2017,2017-09-30,FALSE,TRUE,0,0.37022,0.00793,3259000000,0.02661,0.02591,4.54719,2.5632,0.00585,3993000000,0.41507,15.59766,NA,1.03199,4,0.05855,NA,0.12274,1.15274,0.00375,3.67463,256000000,0.00585,0.01038,0.00222,15.59766,0.00375,0.21437,24710000000,0.01038,0.00222
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2017,2017-06-30,FALSE,TRUE,0,0.38214,0.01655,3261000000,0.02056,0.02002,3.9619,2.42317,0.00519,770000000,0.08038,3.90863,NA,1.01202,5,0.01629,NA,-4.22202,-21.92357,0.00417,2.78138,197000000,0.00519,0.00849,0.00224,3.90863,0.00417,0.08752,7683000000,0.00849,0.00224
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2017,2017-03-31,FALSE,TRUE,0,0.37167,0.02814,3440000000,0.07589,0.07388,3.74361,2.27191,0.02027,-3742000000,-0.39224,-5.16851,NA,1.05511,4,-0.08588,NA,-4.02326,-13.77114,0.01662,2.73577,724000000,0.02027,0.0334,0.00894,-5.16851,0.01662,0.09499,7691000000,0.0334,0.00894
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2016,2016-12-31,FALSE,TRUE,0,0.33794,0.02869,3552000000,0.07835,0.0769,4.57542,2.89843,0.01712,2459000000,0.25722,3.28304,NA,1.03998,5,0.03349,NA,-1.7576,-4.9745,0.0102,3.73889,749000000,0.01712,0.02703,0.0057,3.28304,0.0102,0.18843,24743000000,0.02703,0.0057
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2016,2016-09-30,FALSE,TRUE,0,0.35013,0.01758,2659000000,0.02658,0.02598,3.45084,1.87574,0.0077,5064000000,0.53418,20.09524,NA,1.06302,6,0.1354,NA,-3.81422,-17.63826,0.00674,2.98701,252000000,0.0077,0.01417,0.00355,20.09524,0.00674,0.11573,8205000000,0.01417,0.00355
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2016,2016-06-30,FALSE,TRUE,0,0.36916,0.04226,3194000000,0.09059,0.08872,3.21395,1.7482,0.02819,3851000000,0.40708,4.49358,NA,1.08899,7,0.10851,NA,-2.60739,-6.48093,0.02415,2.93494,857000000,0.02819,0.05182,0.01317,4.49358,0.02415,0.12619,8212000000,0.05182,0.01317
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2016,2016-03-31,FALSE,TRUE,0,0.35231,0.03677,2898000000,0.05446,0.05333,3.09214,1.56645,0.01761,-537000000,-0.05701,-1.04678,NA,1.08252,4,-0.0163,NA,-2.6363,-7.13352,0.01557,3.14259,513000000,0.01761,0.03477,0.00839,-1.04678,0.01557,0.13446,8219000000,0.03477,0.00839
